age,new_user,total_pages_visited,converted
25,1,1,0
23,1,5,0
28,1,4,0
39,1,5,0
30,1,6,0
31,0,1,0
27,1,4,0
23,0,4,0
29,0,4,0
25,0,2,0
38,0,1,0
43,1,8,0
31,0,6,0
23,1,7,0
27,1,3,0
24,1,4,0
39,0,3,0
36,0,9,0
37,0,6,0
27,1,7,0
33,1,9,0
20,1,1,0
27,0,4,0
37,1,6,0
25,0,3,0
35,1,14,0
24,1,3,0
39,1,7,0
17,0,1,0
36,1,10,0
37,1,2,0
35,1,2,0
50,1,6,0
22,1,8,0
23,1,2,0
33,0,11,0
38,0,5,0
35,0,7,0
37,1,8,0
18,1,14,0
17,0,1,0
27,1,7,0
30,0,1,0
29,0,5,0
34,1,4,0
27,1,8,0
34,0,5,0
19,1,2,0
22,1,3,0
31,1,2,0
29,1,2,0
42,1,7,0
32,0,3,0
17,1,7,0
25,1,18,1
38,1,8,0
39,1,6,0
34,1,9,0
21,1,1,0
33,1,4,0
32,0,3,0
39,0,4,0
43,1,1,0
30,0,6,0
48,0,1,0
27,0,7,0
39,1,5,0
40,0,4,0
22,1,1,0
33,0,5,0
19,1,3,0
29,0,3,0
33,0,15,1
27,1,1,0
27,0,3,0
30,1,2,0
38,1,1,0
23,0,6,0
35,0,1,0
23,1,1,0
23,1,6,0
27,0,7,0
18,0,6,0
25,1,5,0
41,0,4,0
30,0,5,0
32,1,2,0
18,0,19,1
28,1,4,0
25,1,5,0
29,1,1,0
40,0,1,0
19,1,5,0
34,0,4,0
24,1,5,0
26,1,4,0
20,1,3,0
31,1,11,0
27,1,2,0
30,0,2,0
20,0,2,0
18,1,3,0
50,1,1,0
20,1,5,0
33,1,1,0
33,1,2,0
22,0,9,0
23,0,4,0
33,1,3,0
34,1,2,0
29,0,5,0
19,1,7,0
37,0,4,0
30,1,11,0
33,0,4,0
30,1,7,0
20,1,6,0
26,0,3,0
24,1,5,0
26,1,3,0
20,1,3,0
24,0,6,0
23,0,1,0
27,1,2,0
36,0,4,0
43,0,2,0
33,1,1,0
39,1,4,0
34,1,9,0
22,1,4,0
17,0,19,1
22,0,4,0
27,1,8,0
25,1,3,0
30,1,7,0
29,0,1,0
35,1,9,0
48,1,3,0
35,1,1,0
30,1,1,0
30,1,5,0
37,1,7,0
40,0,5,0
23,1,1,0
37,1,7,0
35,0,2,0
28,0,8,0
27,1,5,0
19,1,3,0
31,1,7,0
26,0,3,0
32,1,5,0
38,1,1,0
25,1,4,0
32,0,10,0
18,1,2,0
45,1,8,0
24,1,3,0
21,1,4,0
31,1,4,0
23,1,9,0
27,0,9,0
25,0,3,0
21,0,6,0
19,1,1,0
20,0,5,0
39,1,3,0
36,0,6,0
27,1,4,0
27,1,2,0
27,1,6,0
37,0,2,0
50,1,11,0
42,0,5,0
21,0,10,0
40,1,2,0
27,1,6,0
36,1,6,0
45,1,3,0
37,1,5,0
24,1,12,0
29,1,6,0
19,0,9,1
37,1,5,0
20,0,3,0
38,1,6,0
17,1,4,0
36,1,6,0
33,0,4,0
22,0,4,0
